uri,track_name,artist,artist_historical_plays,artist_completion_prior,popularity_component,cold_start_score,reason
spotify:track:71s7tZo8OGlN3VXyURWLUr,Make Some Noise For The Desi Boyz,Pritam,1883,0.71641,0.822043,0.7481,Cold-start fallback: artist prior + popularity
spotify:track:0dLbrlAVPPjpPqnYfmJsWk,Tera Hone Laga Hoon,Pritam,1883,0.71641,0.822043,0.7481,Cold-start fallback: artist prior + popularity
spotify:track:5Rn1DPzSzUktbhuNDDJocS,Party On My Mind,Pritam,1883,0.71641,0.822043,0.7481,Cold-start fallback: artist prior + popularity
spotify:track:6NTwjo8MMAg0Ht2OlKdDir,Brown Rang,Yo Yo Honey Singh,1801,0.71849,0.817192,0.7481,Cold-start fallback: artist prior + popularity
spotify:track:7m4CgL81VVIHaaiSxyH922,Desi Kalakaar,Yo Yo Honey Singh,1801,0.71849,0.817192,0.7481,Cold-start fallback: artist prior + popularity
spotify:track:2FZiKJgWcqwLJ2GYnYuUri,Birthday Bash,Yo Yo Honey Singh,1801,0.71849,0.817192,0.7481,Cold-start fallback: artist prior + popularity
spotify:track:7wW9scVNLYFLsmBb1yAUmS,Blue Eyes,Yo Yo Honey Singh,1801,0.71849,0.817192,0.7481,Cold-start fallback: artist prior + popularity
spotify:track:3VXh3jYTW3lTxtXRnu2TKP,Lungi Dance,Yo Yo Honey Singh,1801,0.71849,0.817192,0.7481,Cold-start fallback: artist prior + popularity
spotify:track:4Zuei1UAP5pB5ovra9dnnp,Khwaja Mere Khwaja,A.R. Rahman,554,0.770758,0.688815,0.746175,Cold-start fallback: artist prior + popularity
spotify:track:5huOzlgCK7PsMSG4TFBvKY,Two High,Moon Taxi,276,0.800725,0.61306,0.744425,Cold-start fallback: artist prior + popularity
spotify:track:6raJtpmRk6O6hhQ4juXY0V,Ampersand,20syl,295,0.79661,0.620292,0.743715,Cold-start fallback: artist prior + popularity
spotify:track:0bxoiLuzBhL2B3ODrAU6cp,Voices,20syl,295,0.79661,0.620292,0.743715,Cold-start fallback: artist prior + popularity
spotify:track:4gkl7QbQvBd3TM9PhlWFkI,Love Yourz,J. Cole,1967,0.707168,0.826798,0.743057,Cold-start fallback: artist prior + popularity
spotify:track:2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,J. Cole,1967,0.707168,0.826798,0.743057,Cold-start fallback: artist prior + popularity
spotify:track:5W8jRrZ6tWrTrqnKRtIQBf,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,1967,0.707168,0.826798,0.743057,Cold-start fallback: artist prior + popularity
spotify:track:7yotKA30dwTKNEGomV9ZsI,KOD,J. Cole,1967,0.707168,0.826798,0.743057,Cold-start fallback: artist prior + popularity
spotify:track:0GAyuCo975IHGxxiLKDufB,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole,1967,0.707168,0.826798,0.743057,Cold-start fallback: artist prior + popularity
spotify:track:4gbVRS8gloEluzf0GzDOFc,Maps,Maroon 5,760,0.744737,0.723225,0.738283,Cold-start fallback: artist prior + popularity
spotify:track:6tHQAadcluhVV4oD2IvHSk,Lost,Maroon 5,760,0.744737,0.723225,0.738283,Cold-start fallback: artist prior + popularity
spotify:track:5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,760,0.744737,0.723225,0.738283,Cold-start fallback: artist prior + popularity
spotify:track:0xfbtk4ri9aDhbqHyVMIY7,Bossin',Arizona Zervas,462,0.766234,0.669059,0.737081,Cold-start fallback: artist prior + popularity
spotify:track:696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,462,0.766234,0.669059,0.737081,Cold-start fallback: artist prior + popularity
spotify:track:58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,435,0.767816,0.662509,0.736224,Cold-start fallback: artist prior + popularity
spotify:track:0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),Cardi B,435,0.767816,0.662509,0.736224,Cold-start fallback: artist prior + popularity
